"term","delta","method","estimate","conf_low","conf_high","contains_zero","pattern_name","pattern_type","violation_pattern_used","scale_instrument","nobs","se","theta_min","theta_max","baseline_estimate","baseline_conf_low","baseline_conf_high","crosses_baseline_sign","significant_at_level","error","delta_outcome_units","delta_share_of_residual_y_sd","residual_y_sd"
"log_providers",0,"uci",0.0315774649210396,0.0039036502020838,0.0592512796399954,FALSE,"Uniform direct effect","uniform",TRUE,"residual_sd",114803,NA,0,0,0.0315774649210396,0.0039036502020838,0.0592512796399954,FALSE,TRUE,NA,0,0,0.18303880861299
"log_providers",0.0018303880861299,"uci",0.0315774649210396,-0.0175003955112728,0.0872158839657023,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",114803,NA,-0.0018303880861299,0.0018303880861299,0.0315774649210396,0.0039036502020838,0.0592512796399954,TRUE,FALSE,NA,0.0018303880861299,0.01,0.18303880861299
"log_providers",0.0036607761722598,"uci",0.0315774649210396,-0.0445733841800197,0.118359925350205,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",114803,NA,-0.0036607761722598,0.0036607761722598,0.0315774649210396,0.0039036502020838,0.0592512796399954,TRUE,FALSE,NA,0.0036607761722598,0.02,0.18303880861299
"log_providers",0.0054911642583897,"uci",0.0315774649210396,-0.0752543236098513,0.151077231169088,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",114803,NA,-0.0054911642583897,0.0054911642583897,0.0315774649210396,0.0039036502020838,0.0592512796399954,TRUE,FALSE,NA,0.0054911642583897,0.03,0.18303880861299
"log_providers",0.0073215523445196,"uci",0.0315774649210396,-0.107743899958426,0.184594391346267,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",114803,NA,-0.0073215523445196,0.0073215523445196,0.0315774649210396,0.0039036502020838,0.0592512796399954,TRUE,FALSE,NA,0.0073215523445196,0.04,0.18303880861299
"log_providers",0.0091519404306495,"uci",0.0315774649210396,-0.14114110734012,0.218553213385114,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",114803,NA,-0.0091519404306495,0.0091519404306495,0.0315774649210396,0.0039036502020838,0.0592512796399954,TRUE,FALSE,NA,0.0091519404306495,0.05,0.18303880861299
"log_providers",0.0109823285167794,"uci",0.0315774649210396,-0.175031149129783,0.252776233199111,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",114803,NA,-0.0109823285167794,0.0109823285167794,0.0315774649210396,0.0039036502020838,0.0592512796399954,TRUE,FALSE,NA,0.0109823285167794,0.06,0.18303880861299
"log_providers",0.0128127166029093,"uci",0.0315774649210396,-0.20921170732766,0.287168133285152,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",114803,NA,-0.0128127166029093,0.0128127166029093,0.0315774649210396,0.0039036502020838,0.0592512796399954,TRUE,FALSE,NA,0.0128127166029093,0.07,0.18303880861299
"log_providers",0.0146431046890392,"uci",0.0315774649210396,-0.243575773475973,0.321673901023449,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",114803,NA,-0.0146431046890392,0.0146431046890392,0.0315774649210396,0.0039036502020838,0.0592512796399954,TRUE,FALSE,NA,0.0146431046890392,0.08,0.18303880861299
"log_providers",0.0164734927751691,"uci",0.0315774649210396,-0.278062393940796,0.356259818638955,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",114803,NA,-0.0164734927751691,0.0164734927751691,0.0315774649210396,0.0039036502020838,0.0592512796399954,TRUE,FALSE,NA,0.0164734927751691,0.09,0.18303880861299
"log_providers",0.018303880861299,"uci",0.0315774649210396,-0.312634614298367,0.390904167046202,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",114803,NA,-0.018303880861299,0.018303880861299,0.0315774649210396,0.0039036502020838,0.0592512796399954,TRUE,FALSE,NA,0.018303880861299,0.1,0.18303880861299
"log_providers",0.0201342689474289,"uci",0.0315774649210396,-0.347268844129992,0.425592366392224,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",114803,NA,-0.0201342689474289,0.0201342689474289,0.0315774649210396,0.0039036502020838,0.0592512796399954,TRUE,FALSE,NA,0.0201342689474289,0.11,0.18303880861299
"log_providers",0.0219646570335588,"uci",0.0315774649210396,-0.381949365840183,0.46031428464307,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",114803,NA,-0.0219646570335588,0.0219646570335588,0.0315774649210396,0.0039036502020838,0.0592512796399954,TRUE,FALSE,NA,0.0219646570335588,0.12,0.18303880861299
"log_providers",0.0237950451196887,"uci",0.0315774649210396,-0.416665325591209,0.495062671147408,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",114803,NA,-0.0237950451196887,0.0237950451196887,0.0315774649210396,0.0039036502020838,0.0592512796399954,TRUE,FALSE,NA,0.0237950451196887,0.13,0.18303880861299
"log_providers",0.0256254332058186,"uci",0.0315774649210396,-0.451408997901145,0.529832205306764,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",114803,NA,-0.0256254332058186,0.0256254332058186,0.0315774649210396,0.0039036502020838,0.0592512796399954,TRUE,FALSE,NA,0.0256254332058186,0.14,0.18303880861299
"log_providers",0.0274558212919485,"uci",0.0315774649210396,-0.486174739885807,0.56461889715142,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",114803,NA,-0.0274558212919485,0.0274558212919485,0.0315774649210396,0.0039036502020838,0.0592512796399954,TRUE,FALSE,NA,0.0274558212919485,0.15,0.18303880861299
"log_providers",0.0292862093780784,"uci",0.0315774649210396,-0.520958336844183,0.599419697383924,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",114803,NA,-0.0292862093780784,0.0292862093780784,0.0315774649210396,0.0039036502020838,0.0592512796399954,TRUE,FALSE,NA,0.0292862093780784,0.16,0.18303880861299
"log_providers",0.0311165974642083,"uci",0.0315774649210396,-0.555756579042336,0.634232236523544,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",114803,NA,-0.0311165974642083,0.0311165974642083,0.0315774649210396,0.0039036502020838,0.0592512796399954,TRUE,FALSE,NA,0.0311165974642083,0.17,0.18303880861299
"log_providers",0.0329469855503382,"uci",0.0315774649210396,-0.590566980025718,0.669054646009454,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",114803,NA,-0.0329469855503382,0.0329469855503382,0.0315774649210396,0.0039036502020838,0.0592512796399954,TRUE,FALSE,NA,0.0329469855503382,0.18,0.18303880861299
"log_providers",0.0347773736364681,"uci",0.0315774649210396,-0.625387584384665,0.703885432836673,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",114803,NA,-0.0347773736364681,0.0347773736364681,0.0315774649210396,0.0039036502020838,0.0592512796399954,TRUE,FALSE,NA,0.0347773736364681,0.19,0.18303880861299
"log_providers",0.036607761722598,"uci",0.0315774649210396,-0.660216833557002,0.738723389934661,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",114803,NA,-0.036607761722598,0.036607761722598,0.0315774649210396,0.0039036502020838,0.0592512796399954,TRUE,FALSE,NA,0.036607761722598,0.2,0.18303880861299
"log_providers",0,"uci",0.0315774649210396,0.0039036502020838,0.0592512796399954,FALSE,"Density direct-effect pattern","theory_defined",TRUE,"residual_sd",114803,NA,0,0,0.0315774649210396,0.0039036502020838,0.0592512796399954,FALSE,TRUE,NA,0,0,0.18303880861299
"log_providers",0.0018303880861299,"uci",0.0315774649210396,0.00368194661179812,0.0595519297292235,FALSE,"Density direct-effect pattern","theory_defined",TRUE,"residual_sd",114803,NA,-0.0018303880861299,0.0018303880861299,0.0315774649210396,0.0039036502020838,0.0592512796399954,FALSE,TRUE,NA,0.0018303880861299,0.01,0.18303880861299
"log_providers",0.0036607761722598,"uci",0.0315774649210396,0.00345933398399547,0.059853481107574,FALSE,"Density direct-effect pattern","theory_defined",TRUE,"residual_sd",114803,NA,-0.0036607761722598,0.0036607761722598,0.0315774649210396,0.0039036502020838,0.0592512796399954,FALSE,TRUE,NA,0.0036607761722598,0.02,0.18303880861299
"log_providers",0.0054911642583897,"uci",0.0315774649210396,0.0032358085506126,0.0601559298031973,FALSE,"Density direct-effect pattern","theory_defined",TRUE,"residual_sd",114803,NA,-0.0054911642583897,0.0054911642583897,0.0315774649210396,0.0039036502020838,0.0592512796399954,FALSE,TRUE,NA,0.0054911642583897,0.03,0.18303880861299
"log_providers",0.0073215523445196,"uci",0.0315774649210396,0.00301136661235876,0.0604592717800805,FALSE,"Density direct-effect pattern","theory_defined",TRUE,"residual_sd",114803,NA,-0.0073215523445196,0.0073215523445196,0.0315774649210396,0.0039036502020838,0.0592512796399954,FALSE,TRUE,NA,0.0073215523445196,0.04,0.18303880861299
"log_providers",0.0091519404306495,"uci",0.0315774649210396,0.00278600453839567,0.0607635029421732,FALSE,"Density direct-effect pattern","theory_defined",TRUE,"residual_sd",114803,NA,-0.0091519404306495,0.0091519404306495,0.0315774649210396,0.0039036502020838,0.0592512796399954,FALSE,TRUE,NA,0.0091519404306495,0.05,0.18303880861299
