"transport_gap","theta_true","pi","inactive_share","eligibility_rate","equivalence_rate","mean_first_stage","mean_first_stage_f","mean_gamma_hat","gamma_bias","gamma_abs_error","coverage_rate","mean_interval_width"
0,0,0.3,0.1,1,1,7e-04,1.0073,0.0013,0.0013,0.0013,0.948,0.6294
0,0,0.3,0.25,1,1,9e-04,1.0215,0.001,0.001,0.001,0.98,0.4982
0,0,1,0.1,1,1,0.0022,0.9771,0.0036,0.0036,0.0036,0.947,0.1877
0,0,1,0.25,1,1,0.0024,1.1861,0.0031,0.0031,0.0031,0.97,0.1487
0,0.05,0.3,0.1,1,1,0.0012,1.0947,0.053,0.003,0.003,0.944,0.6223
0,0.05,0.3,0.25,1,1,0.0012,1.0263,0.0513,0.0013,0.0013,0.972,0.4916
0,0.05,1,0.1,1,1,0.0034,1.0641,0.0552,0.0052,0.0052,0.95,0.188
0,0.05,1,0.25,1,1,0.0014,1.0815,0.0517,0.0017,0.0017,0.974,0.1486
0,0.1,0.3,0.1,1,1,5e-04,0.9423,0.1011,0.0011,0.0011,0.971,0.6271
0,0.1,0.3,0.25,1,1,-4e-04,1.1073,0.0992,-8e-04,8e-04,0.961,0.494
0,0.1,1,0.1,1,1,0.0025,1.0515,0.1036,0.0036,0.0036,0.953,0.1871
0,0.1,1,0.25,1,1,0.0017,1.0036,0.1024,0.0024,0.0024,0.977,0.1496
0.05,0,0.3,0.1,1,1,0.0019,1.0183,0.0025,0.0025,0.0025,0.843,0.6238
0.05,0,0.3,0.25,1,1,3e-04,1.0172,3e-04,3e-04,3e-04,0.767,0.4936
0.05,0,1,0.1,1,1,0.0031,1.0223,0.0032,0.0032,0.0032,0.844,0.188
0.05,0,1,0.25,1,1,0.0015,1.1291,8e-04,8e-04,8e-04,0.765,0.1486
0.05,0.05,0.3,0.1,1,1,4e-04,0.9979,0.0507,7e-04,7e-04,0.831,0.6274
0.05,0.05,0.3,0.25,1,1,2e-04,0.9849,0.05,0,0,0.767,0.4922
0.05,0.05,1,0.1,1,1,0.0021,1.0383,0.0514,0.0014,0.0014,0.837,0.1881
0.05,0.05,1,0.25,1,1,0.0017,1.08,0.0526,0.0026,0.0026,0.786,0.1484
0.05,0.1,0.3,0.1,1,1,4e-04,1.069,0.1012,0.0012,0.0012,0.81,0.6199
0.05,0.1,0.3,0.25,1,1,0.0011,0.9776,0.1033,0.0033,0.0033,0.781,0.4917
0.05,0.1,1,0.1,1,1,0.0028,1.0236,0.1029,0.0029,0.0029,0.85,0.1888
0.05,0.1,1,0.25,1,1,0.0021,1.1238,0.1037,0.0037,0.0037,0.79,0.149
